Age,Gender,University,Department,Year,Current CGPA,Stress value,Anxiety value,Depression value
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,2.50 - 2.99,0.760869565217391,0.7166666666666667,0.712121212121212
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.00 - 3.39,0.684782608695652,0.55,0.7121212121212122
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.00 - 3.39,0.010869565217391302,0.0,0.0
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.00 - 3.39,0.48913043478260865,0.4833333333333334,0.4787878787878788
18-22,Male,North South University (NSU),Engineering - CS ,2,2.50 - 2.99,0.8043478260869563,0.6333333333333334,0.7696969696969699
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,0,3.00 - 3.39,0.467391304347826,0.26666666666666666,0.3424242424242424
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.00 - 3.39,0.41304347826086957,0.21666666666666665,0.09090909090909091
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - EEE,1,3.00 - 3.39,0.08695652173913042,0.15,0.09090909090909093
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.48913043478260865,0.5833333333333334,0.7636363636363637
18-22,Male,Islamic University of Technology (IUT),Engineering - CS ,3,3.40 - 3.79,0.5652173913043477,0.31666666666666665,0.07575757575757576
18-22,Male,"Independent University, Bangladesh (IUB)",Other,2,3.40 - 3.79,0.6956521739130432,0.6333333333333334,0.296969696969697
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.00 - 3.39,0.7717391304347824,0.46666666666666673,0.3333333333333333
18-22,Male,Patuakhali Science and Technology University,Engineering - CS ,1,3.80 - 4.00,0.6304347826086956,0.6333333333333333,0.1181818181818182
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,3.40 - 3.79,0.6630434782608695,0.7333333333333334,0.6454545454545456
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,0,3.40 - 3.79,0.46739130434782594,0.2833333333333333,0.03636363636363636
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.00 - 3.39,0.3369565217391303,0.6833333333333335,0.787878787878788
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,0,3.40 - 3.79,0.5434782608695652,0.3333333333333333,0.14545454545454548
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,3.40 - 3.79,0.5,0.3333333333333333,0.3333333333333333
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.40 - 3.79,0.8695652173913043,1.0,1.0
18-22,Female,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,1,3.40 - 3.79,0.5434782608695652,0.8333333333333334,0.9757575757575757
18-22,Male,Rajshahi University of Engineering and Technology (RUET),Engineering - CS ,2,2.50 - 2.99,0.7065217391304346,0.6666666666666666,0.5727272727272728
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.40 - 3.79,0.5,0.6666666666666666,0.5939393939393941
23-26,Female,Dhaka University (DU),Environmental and Life Sciences,3,3.00 - 3.39,0.7391304347826085,0.46666666666666673,0.2727272727272727
23-26,Male,Islamic University of Technology (IUT),Engineering - Mechanical Engineering ,4,3.00 - 3.39,0.8043478260869561,0.7166666666666668,0.5818181818181818
23-26,Female,American International University Bangladesh (AIUB),Engineering - CS ,3,3.40 - 3.79,0.6413043478260869,0.65,0.40909090909090906
18-22,Female,Bangladesh University of Engineering and Technology (BUET),Engineering - CS ,3,3.00 - 3.39,0.5978260869565215,0.7666666666666667,0.6666666666666666
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,Below 2.50,0.48913043478260865,0.4833333333333334,0.5151515151515151
18-22,Male,Islamic University of Technology (IUT),Engineering - Mechanical Engineering ,4,3.40 - 3.79,0.8152173913043473,0.8000000000000002,0.6151515151515152
23-26,Male,North South University (NSU),Engineering - CS ,3,3.00 - 3.39,0.6956521739130433,0.7333333333333334,0.7272727272727274
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,2,3.00 - 3.39,0.4782608695652173,0.6166666666666667,0.34848484848484845
18-22,Male,Islamic University of Technology (IUT),Engineering - Civil Engineering ,3,3.40 - 3.79,0.8913043478260868,1.0,1.0
23-26,Male,Dhaka University (DU),Biological Sciences,3,3.40 - 3.79,0.5,0.7166666666666668,0.6666666666666667
23-26,Male,Bangladesh University of Engineering and Technology (BUET),Engineering - CS ,4,3.40 - 3.79,0.5869565217391303,0.25,0.7242424242424245
18-22,Female,Dhaka University (DU),Other,4,3.00 - 3.39,0.42391304347826075,0.4000000000000001,0.4848484848484849
18-22,Male,Patuakhali Science and Technology University,Engineering - CS ,1,3.80 - 4.00,0.4782608695652173,0.2833333333333333,0.2727272727272727
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,2,3.80 - 4.00,0.4782608695652174,0.3333333333333333,0.2212121212121212
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,3.40 - 3.79,0.760869565217391,1.0,0.7454545454545456
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,0,3.00 - 3.39,1.0,0.9666666666666668,0.7636363636363637
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,3,3.40 - 3.79,0.4999999999999999,0.8333333333333334,0.4848484848484849
23-26,Female,Dhaka University (DU),Biological Sciences,4,3.40 - 3.79,0.8369565217391303,1.0,0.9515151515151518
18-22,Female,American International University Bangladesh (AIUB),Engineering - CS ,3,3.00 - 3.39,0.8478260869565215,0.5833333333333334,0.6424242424242427
18-22,Female,Islamic University of Technology (IUT),Engineering - EEE,2,3.40 - 3.79,0.8369565217391303,0.9,0.9545454545454546
18-22,Male,Islamic University of Technology (IUT),Engineering - CS ,2,3.80 - 4.00,0.8369565217391303,0.7833333333333335,0.7181818181818181
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,Below 2.50,0.5978260869565215,0.6833333333333332,0.393939393939394
23-26,Male,North South University (NSU),Engineering - CS ,3,3.40 - 3.79,0.6304347826086956,0.7333333333333334,0.6606060606060606
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.40 - 3.79,0.7826086956521738,1.0,0.9272727272727275
